,Unnamed: 0,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
101,101,0,0,male,21.0,0,1,77.2875,1,S
102,102,0,2,male,33.0,0,0,8.6542,0,S
103,103,0,2,male,37.0,2,0,7.925,0,S
104,104,0,2,male,28.0,0,0,7.8958,0,S
105,105,1,2,female,21.0,0,0,7.65,0,S
106,106,1,2,male,30.0,0,0,7.775,0,S
107,107,0,2,male,38.0,0,0,7.8958,0,S
108,108,1,2,female,21.0,1,0,24.15,0,Q
109,109,0,0,male,47.0,0,0,52.0,1,S
110,110,0,2,female,14.5,1,0,14.4542,0,C
111,111,0,2,male,22.0,0,0,8.05,0,S
112,112,0,2,female,20.0,1,0,9.825,0,S
113,113,0,2,female,17.0,0,0,14.4583,0,C
114,114,0,2,male,21.0,0,0,7.925,0,S
115,115,0,2,male,70.5,0,0,7.75,0,Q
116,116,0,1,male,29.0,1,0,21.0,0,S
117,117,0,0,male,24.0,0,1,247.5208,1,C
118,118,0,2,female,2.0,4,2,31.275,0,S
119,119,0,1,male,21.0,2,0,73.5,0,S
120,120,0,2,male,30.0,0,0,8.05,0,S
121,121,0,1,male,32.5,1,0,30.0708,0,C
122,122,1,1,female,32.5,0,0,13.0,1,S
123,123,0,0,male,54.0,0,1,77.2875,1,S
124,124,1,2,male,12.0,1,0,11.2417,0,C
125,125,0,2,male,30.0,0,0,7.75,0,Q
126,126,1,2,male,24.0,0,0,7.1417,0,S
127,127,1,2,female,21.0,1,1,22.3583,1,C
128,128,0,2,male,45.0,0,0,6.975,0,S
129,129,0,2,male,33.0,0,0,7.8958,0,C
130,130,0,2,male,20.0,0,0,7.05,0,S
131,131,0,2,female,47.0,1,0,14.5,0,S
132,132,1,1,female,29.0,1,0,26.0,0,S
133,133,0,1,male,25.0,0,0,13.0,0,S
134,134,0,1,male,23.0,0,0,15.0458,0,C
135,135,1,0,female,19.0,0,2,26.2833,1,S
136,136,0,0,male,37.0,1,0,53.1,1,S
137,137,0,2,male,16.0,0,0,9.2167,0,S
138,138,0,0,male,24.0,0,0,79.2,1,C
139,139,0,2,female,35.0,0,2,15.2458,0,C
140,140,1,2,female,22.0,0,0,7.75,0,S
141,141,1,2,female,24.0,1,0,15.85,0,S
142,142,0,2,male,19.0,0,0,6.75,0,Q
143,143,0,1,male,18.0,0,0,11.5,0,S
144,144,0,1,male,19.0,1,1,36.75,0,S
145,145,1,2,male,27.0,0,0,7.7958,0,S
146,146,0,2,female,9.0,2,2,34.375,0,S
147,147,0,1,male,36.5,0,2,26.0,1,S
148,148,0,1,male,42.0,0,0,13.0,0,S
149,149,0,1,male,51.0,0,0,12.525,0,S
150,150,1,0,female,22.0,1,0,66.6,1,S
151,151,0,2,male,55.5,0,0,8.05,0,S
152,152,0,2,male,40.5,0,2,14.5,0,S
153,153,0,2,male,30.0,0,0,7.3125,0,S
154,154,0,0,male,51.0,0,1,61.3792,0,C
155,155,1,2,female,16.0,0,0,7.7333,0,Q
156,156,0,2,male,30.0,0,0,8.05,0,S
157,157,0,2,male,30.0,0,0,8.6625,0,S
158,158,0,2,male,3.5,8,2,69.55,0,S
159,159,0,2,male,44.0,0,1,16.1,0,S
160,160,1,1,female,40.0,0,0,15.75,0,S
161,161,0,2,male,26.0,0,0,7.775,0,S
162,162,0,2,male,17.0,0,0,8.6625,0,S
163,163,0,2,male,1.0,4,1,39.6875,0,S
164,164,1,2,male,9.0,0,2,20.525,0,S
165,165,1,0,female,35.0,0,1,55.0,1,S
166,166,0,2,female,45.0,1,4,27.9,0,S
167,167,0,0,male,30.0,0,0,25.925,0,S
168,168,0,2,male,28.0,0,0,56.4958,0,S
169,169,0,0,male,61.0,0,0,33.5,1,S
170,170,0,2,male,4.0,4,1,29.125,0,Q
171,171,1,2,female,1.0,1,1,11.1333,0,S
172,172,0,2,male,21.0,0,0,7.925,0,S
173,173,0,0,male,56.0,0,0,30.6958,1,C
174,174,0,2,male,18.0,1,1,7.8542,0,S
175,175,0,2,male,3.5,3,1,25.4667,0,S
176,176,0,0,female,50.0,0,0,28.7125,1,C
177,177,0,1,male,30.0,0,0,13.0,0,S
178,178,0,2,male,36.0,0,0,0.0,0,S
179,179,0,2,female,21.0,8,2,69.55,0,S
180,180,0,1,male,30.0,0,0,15.05,0,C
181,181,0,2,male,9.0,4,2,31.3875,0,S
182,182,1,1,male,1.0,2,1,39.0,1,S
183,183,1,2,female,4.0,0,2,22.025,0,S
184,184,0,0,male,30.0,0,0,50.0,1,S
185,185,1,2,female,35.0,1,0,15.5,0,Q
186,186,1,0,male,45.0,0,0,26.55,0,S
187,187,0,2,male,40.0,1,1,15.5,0,Q
188,188,0,2,male,36.0,0,0,7.8958,0,S
189,189,1,1,female,32.0,0,0,13.0,0,S
190,190,0,1,male,19.0,0,0,13.0,0,S
191,191,1,2,female,19.0,1,0,7.8542,0,S
192,192,1,1,male,3.0,1,1,26.0,1,S
193,193,1,0,female,44.0,0,0,27.7208,1,C
194,194,1,0,female,58.0,0,0,146.5208,1,C
195,195,0,2,male,30.0,0,0,7.75,0,Q
196,196,0,2,male,42.0,0,1,8.4042,0,S
197,197,1,2,female,21.0,0,0,7.75,0,Q
198,198,0,1,female,24.0,0,0,13.0,0,S
199,199,0,2,male,28.0,0,0,9.5,0,S
200,200,0,2,male,30.0,8,2,69.55,0,S
201,201,0,2,male,34.0,0,0,6.4958,0,S
202,202,0,2,male,45.5,0,0,7.225,0,C
203,203,1,2,male,18.0,0,0,8.05,0,S
204,204,0,2,female,2.0,0,1,10.4625,1,S
205,205,0,2,male,32.0,1,0,15.85,0,S
206,206,1,2,male,26.0,0,0,18.7875,0,C
207,207,1,2,female,16.0,0,0,7.75,0,Q
208,208,1,0,male,40.0,0,0,31.0,1,C
209,209,0,2,male,24.0,0,0,7.05,0,S
210,210,1,1,female,35.0,0,0,21.0,0,S
211,211,0,2,male,22.0,0,0,7.25,0,S
212,212,0,1,male,30.0,0,0,13.0,0,S
213,213,0,2,male,30.0,1,0,7.75,0,Q
214,214,1,0,female,31.0,1,0,113.275,1,C
215,215,1,2,female,27.0,0,0,7.925,0,S
216,216,0,1,male,42.0,1,0,27.0,0,S
217,217,1,0,female,32.0,0,0,76.2917,1,C
218,218,0,1,male,30.0,0,0,10.5,0,S
219,219,1,2,male,16.0,0,0,8.05,0,S
220,220,0,1,male,27.0,0,0,13.0,0,S
221,221,0,2,male,51.0,0,0,8.05,0,S
222,222,0,2,male,30.0,0,0,7.8958,0,S
223,223,1,0,male,38.0,1,0,90.0,1,S
224,224,0,2,male,22.0,0,0,9.35,0,S
225,225,1,1,male,19.0,0,0,10.5,0,S
226,226,0,2,male,20.5,0,0,7.25,0,S
227,227,0,1,male,18.0,0,0,13.0,0,S
228,228,0,2,female,21.0,3,1,25.4667,0,S
229,229,1,0,female,35.0,1,0,83.475,1,S
230,230,0,2,male,29.0,0,0,7.775,0,S
231,231,0,1,male,59.0,0,0,13.5,0,S
232,232,1,2,female,5.0,4,2,31.3875,0,S
233,233,0,1,male,24.0,0,0,10.5,0,S
234,234,0,2,female,21.0,0,0,7.55,0,S
235,235,0,1,male,44.0,1,0,26.0,0,S
236,236,1,1,female,8.0,0,2,26.25,0,S
237,237,0,1,male,19.0,0,0,10.5,0,S
238,238,0,1,male,33.0,0,0,12.275,0,S
239,239,0,2,female,21.0,1,0,14.4542,0,C
240,240,1,2,female,21.0,1,0,15.5,0,Q
241,241,0,1,male,29.0,0,0,10.5,0,S
242,242,0,2,male,22.0,0,0,7.125,0,S
243,243,0,2,male,30.0,0,0,7.225,0,C
244,244,0,0,male,44.0,2,0,90.0,1,Q
245,245,0,2,female,25.0,0,0,7.775,0,S
246,246,1,1,female,24.0,0,2,14.5,0,S
247,247,1,0,male,37.0,1,1,52.5542,1,S
248,248,0,1,male,54.0,1,0,26.0,0,S
249,249,0,2,male,30.0,0,0,7.25,0,S
250,250,0,2,female,29.0,1,1,10.4625,1,S
251,251,0,0,male,62.0,0,0,26.55,1,S
252,252,0,2,male,30.0,1,0,16.1,0,S
253,253,0,2,female,41.0,0,2,20.2125,0,S
254,254,1,2,female,29.0,0,2,15.2458,0,C
255,255,1,0,female,35.0,0,0,79.2,0,C
256,256,1,0,female,30.0,0,0,86.5,1,S
257,257,1,0,female,35.0,0,0,512.3292,0,C
258,258,1,1,female,50.0,0,1,26.0,0,S
259,259,0,2,male,30.0,0,0,7.75,0,Q
260,260,1,2,male,3.0,4,2,31.3875,0,S
261,261,0,0,male,52.0,1,1,79.65,1,S
262,262,0,0,male,40.0,0,0,0.0,1,S
263,263,0,2,female,21.0,0,0,7.75,0,Q
264,264,0,1,male,36.0,0,0,10.5,0,S
265,265,0,2,male,16.0,4,1,39.6875,0,S
266,266,1,2,male,25.0,1,0,7.775,0,S
267,267,1,0,female,58.0,0,1,153.4625,1,S
268,268,1,0,female,35.0,0,0,135.6333,1,S
269,269,0,0,male,30.0,0,0,31.0,0,S
270,270,1,2,male,25.0,0,0,0.0,0,S
271,271,1,1,female,41.0,0,1,19.5,0,S
272,272,0,0,male,37.0,0,1,29.7,1,C
273,273,1,2,female,21.0,0,0,7.75,0,Q
274,274,1,0,female,63.0,1,0,77.9583,1,S
275,275,0,2,female,45.0,0,0,7.75,0,S
276,276,0,1,male,30.0,0,0,0.0,0,S
277,277,0,2,male,7.0,4,1,29.125,0,Q
278,278,1,2,female,35.0,1,1,20.25,0,S
279,279,0,2,male,65.0,0,0,7.75,0,Q
280,280,0,2,male,28.0,0,0,7.8542,0,S
281,281,0,2,male,16.0,0,0,9.5,0,S
282,282,1,2,male,19.0,0,0,8.05,0,S
283,283,0,0,male,30.0,0,0,26.0,1,S
284,284,0,2,male,33.0,0,0,8.6625,0,C
285,285,1,2,male,30.0,0,0,9.5,0,S
286,286,0,2,male,22.0,0,0,7.8958,0,S
287,287,1,1,male,42.0,0,0,13.0,0,S
288,288,1,2,female,22.0,0,0,7.75,0,Q
289,289,1,0,female,26.0,0,0,78.85,0,S
290,290,1,0,female,19.0,1,0,91.0792,1,C
291,291,0,1,male,36.0,0,0,12.875,1,C
292,292,0,2,female,24.0,0,0,8.85,0,S
293,293,0,2,male,24.0,0,0,7.8958,0,S
294,294,0,0,male,30.0,0,0,27.7208,0,C
295,295,0,2,male,23.5,0,0,7.2292,0,C
296,296,0,0,female,2.0,1,2,151.55,1,S
297,297,1,0,male,30.0,0,0,30.5,1,S
298,298,1,0,female,50.0,0,1,247.5208,1,C
299,299,1,2,female,21.0,0,0,7.75,0,Q
300,300,1,2,male,30.0,2,0,23.25,0,Q
301,301,0,2,male,19.0,0,0,0.0,0,S
302,302,1,1,female,21.0,0,0,12.35,1,Q
303,303,0,2,male,30.0,0,0,8.05,0,S
304,304,1,0,male,0.92,1,2,151.55,1,S
305,305,1,0,female,21.0,0,0,110.8833,0,C
306,306,1,0,female,17.0,1,0,108.9,1,C
307,307,0,1,male,30.0,1,0,24.0,0,C
308,308,1,0,female,30.0,0,0,56.9292,1,C
309,309,1,0,female,24.0,0,0,83.1583,1,C
310,310,1,0,female,18.0,2,2,262.375,1,C
311,311,0,1,female,26.0,1,1,26.0,0,S
312,312,0,2,male,28.0,0,0,7.8958,0,S
313,313,0,1,male,43.0,1,1,26.25,0,S
314,314,1,2,female,26.0,0,0,7.8542,0,S
315,315,1,1,female,24.0,1,0,26.0,0,S
316,316,0,1,male,54.0,0,0,14.0,0,S
317,317,1,0,female,31.0,0,2,164.8667,1,S
318,318,1,0,female,40.0,1,1,134.5,1,C
319,319,0,2,male,22.0,0,0,7.25,0,S
320,320,0,2,male,27.0,0,0,7.8958,0,S
321,321,1,1,female,30.0,0,0,12.35,0,Q
322,322,1,1,female,22.0,1,1,29.0,0,S
323,323,0,2,male,30.0,8,2,69.55,0,S
324,324,1,0,female,36.0,0,0,135.6333,1,C
325,325,0,2,male,61.0,0,0,6.2375,0,S
326,326,1,1,female,36.0,0,0,13.0,1,S
327,327,1,2,female,31.0,1,1,20.525,0,S
328,328,1,0,female,16.0,0,1,57.9792,1,C
329,329,1,2,female,21.0,2,0,23.25,0,Q
330,330,0,0,male,45.5,0,0,28.5,1,S
331,331,0,0,male,38.0,0,1,153.4625,1,S
332,332,0,2,male,16.0,2,0,18.0,0,S
333,333,1,0,female,35.0,1,0,133.65,0,S
334,334,0,2,male,30.0,0,0,7.8958,0,S
335,335,0,0,male,29.0,1,0,66.6,1,S
336,336,1,0,female,41.0,0,0,134.5,1,C
337,337,1,2,male,45.0,0,0,8.05,0,S
338,338,0,0,male,45.0,0,0,35.5,1,S
339,339,1,1,male,2.0,1,1,26.0,1,S
340,340,1,0,female,24.0,3,2,263.0,1,S
341,341,0,1,male,28.0,0,0,13.0,0,S
342,342,0,1,male,25.0,0,0,13.0,0,S
343,343,0,1,male,36.0,0,0,13.0,0,S
344,344,1,1,female,24.0,0,0,13.0,1,S
345,345,1,1,female,40.0,0,0,13.0,0,S
346,346,1,2,female,35.0,1,0,16.1,0,S
347,347,1,2,male,3.0,1,1,15.9,0,S
348,348,0,2,male,42.0,0,0,8.6625,0,S
349,349,0,2,male,23.0,0,0,9.225,0,S
350,350,0,0,male,30.0,0,0,35.0,1,S
351,351,0,2,male,15.0,1,1,7.2292,0,C
352,352,0,2,male,25.0,1,0,17.8,0,S
353,353,0,2,male,30.0,0,0,7.225,0,C
354,354,0,2,male,28.0,0,0,9.5,0,S
355,355,1,0,female,22.0,0,1,55.0,1,S
356,356,0,1,female,38.0,0,0,13.0,0,S
357,357,1,2,female,21.0,0,0,7.8792,0,Q
358,358,1,2,female,21.0,0,0,7.8792,0,Q
359,359,0,2,male,40.0,1,4,27.9,0,S
360,360,0,1,male,29.0,1,0,27.7208,0,C
361,361,0,2,female,45.0,0,1,14.4542,0,C
362,362,0,2,male,35.0,0,0,7.05,0,S
363,363,0,2,male,30.0,1,0,15.5,0,Q
364,364,0,2,male,30.0,0,0,7.25,0,S
365,365,1,0,female,60.0,1,0,75.25,1,C
366,366,1,2,female,35.0,0,0,7.2292,0,C
367,367,1,2,female,21.0,0,0,7.75,0,Q
368,368,1,0,female,24.0,0,0,69.3,1,C
369,369,1,0,male,25.0,1,0,55.4417,1,C
370,370,0,2,male,18.0,1,0,6.4958,0,S
371,371,0,2,male,19.0,0,0,8.05,0,S
372,372,0,0,male,22.0,0,0,135.6333,0,C
373,373,0,2,female,3.0,3,1,21.075,0,S
374,374,1,0,female,35.0,1,0,82.1708,0,C
375,375,1,2,female,22.0,0,0,7.25,0,S
376,376,0,0,male,27.0,0,2,211.5,1,C
377,377,0,2,male,20.0,0,0,4.0125,0,C
378,378,0,2,male,19.0,0,0,7.775,0,S
379,379,1,0,female,42.0,0,0,227.525,0,C
380,380,1,2,female,1.0,0,2,15.7417,0,C
381,381,0,2,male,32.0,0,0,7.925,0,S
382,382,1,0,female,35.0,1,0,52.0,0,S
383,383,0,2,male,30.0,0,0,7.8958,0,S
384,384,0,1,male,18.0,0,0,73.5,0,S
385,385,0,2,male,1.0,5,2,46.9,0,S
386,386,1,1,female,36.0,0,0,13.0,0,S
387,387,0,2,male,30.0,0,0,7.7292,0,Q
388,388,1,1,female,17.0,0,0,12.0,0,C
389,389,1,0,male,36.0,1,2,120.0,1,S
390,390,1,2,male,21.0,0,0,7.7958,0,S
391,391,0,2,male,28.0,2,0,7.925,0,S
392,392,1,0,female,23.0,1,0,113.275,1,C
393,393,1,2,female,24.0,0,2,16.7,1,S
394,394,0,2,male,22.0,0,0,7.7958,0,S
395,395,0,2,female,31.0,0,0,7.8542,0,S
396,396,0,1,male,46.0,0,0,26.0,0,S
397,397,0,1,male,23.0,0,0,10.5,0,S
398,398,1,1,female,28.0,0,0,12.65,0,S
399,399,1,2,male,39.0,0,0,7.925,0,S
400,400,0,2,male,26.0,0,0,8.05,0,S
401,401,0,2,female,21.0,1,0,9.825,0,S
402,402,0,2,male,28.0,1,0,15.85,0,S
403,403,0,2,female,20.0,0,0,8.6625,0,S
404,404,0,1,male,34.0,1,0,21.0,0,S
405,405,0,2,male,51.0,0,0,7.75,0,S
406,406,1,1,male,3.0,1,1,18.75,0,S
407,407,0,2,male,21.0,0,0,7.775,0,S
408,408,0,2,female,21.0,3,1,25.4667,0,S
409,409,0,2,male,30.0,0,0,7.8958,0,S
410,410,0,2,male,30.0,0,0,6.8583,0,Q
411,411,1,0,female,33.0,1,0,90.0,1,Q
412,412,0,1,male,30.0,0,0,0.0,0,S
413,413,1,2,male,44.0,0,0,7.925,0,S
414,414,0,2,female,35.0,0,0,8.05,0,S
415,415,1,1,female,34.0,1,1,32.5,0,S
416,416,1,1,female,18.0,0,2,13.0,0,S
417,417,0,1,male,30.0,0,0,13.0,0,S
418,418,0,2,female,10.0,0,2,24.15,0,S
419,419,0,2,male,30.0,0,0,7.8958,0,C
420,420,0,2,male,21.0,0,0,7.7333,0,Q
421,421,0,2,male,29.0,0,0,7.875,0,S
422,422,0,2,female,28.0,1,1,14.4,0,S
423,423,0,2,male,18.0,1,1,20.2125,0,S
424,424,0,2,male,30.0,0,0,7.25,0,S
425,425,1,1,female,28.0,1,0,26.0,0,S
426,426,1,1,female,19.0,0,0,26.0,0,S
427,427,0,2,male,30.0,0,0,7.75,0,Q
428,428,1,2,male,32.0,0,0,8.05,1,S
429,429,1,0,male,28.0,0,0,26.55,1,S
430,430,1,2,female,35.0,1,0,16.1,0,S
431,431,1,1,female,42.0,1,0,26.0,0,S
432,432,0,2,male,17.0,0,0,7.125,0,S
433,433,0,0,male,50.0,1,0,55.9,1,S
434,434,1,0,female,14.0,1,2,120.0,1,S
435,435,0,2,female,21.0,2,2,34.375,0,S
436,436,1,1,female,24.0,2,3,18.75,0,S
437,437,0,0,male,64.0,1,4,263.0,1,S
438,438,0,1,male,31.0,0,0,10.5,0,S
439,439,1,1,female,45.0,1,1,26.25,0,S
440,440,0,2,male,20.0,0,0,9.5,0,S
441,441,0,2,male,25.0,1,0,7.775,0,S
442,442,1,1,female,28.0,0,0,13.0,0,S
443,443,1,2,male,30.0,0,0,8.1125,0,S
444,444,1,0,male,4.0,0,2,81.8583,1,S
445,445,1,1,female,13.0,0,1,19.5,0,S
446,446,1,0,male,34.0,0,0,26.55,0,S
447,447,1,2,female,5.0,2,1,19.2583,0,C
448,448,1,0,male,52.0,0,0,30.5,1,S
449,449,0,1,male,36.0,1,2,27.75,0,S
450,450,0,2,male,30.0,1,0,19.9667,0,S
451,451,0,0,male,30.0,0,0,27.75,1,C
452,452,1,0,male,49.0,1,0,89.1042,1,C
453,453,0,2,male,30.0,0,0,8.05,0,S
454,454,1,2,male,29.0,0,0,7.8958,0,C
455,455,0,0,male,65.0,0,0,26.55,1,S
456,456,1,0,female,35.0,1,0,51.8625,1,S
457,457,1,1,female,50.0,0,0,10.5,0,S
458,458,0,2,male,30.0,0,0,7.75,0,Q
459,459,1,0,male,48.0,0,0,26.55,1,S
460,460,0,2,male,34.0,0,0,8.05,0,S
461,461,0,0,male,47.0,0,0,38.5,1,S
462,462,0,1,male,48.0,0,0,13.0,0,S
463,463,0,2,male,30.0,0,0,8.05,0,S
464,464,0,2,male,38.0,0,0,7.05,0,S
465,465,0,1,male,30.0,0,0,0.0,0,S
466,466,0,0,male,56.0,0,0,26.55,0,S
467,467,0,2,male,30.0,0,0,7.725,0,Q
468,468,1,2,female,0.75,2,1,19.2583,0,C
469,469,0,2,male,30.0,0,0,7.25,0,S
470,470,0,2,male,38.0,0,0,8.6625,0,S
471,471,1,1,female,33.0,1,2,27.75,0,S
472,472,1,1,female,23.0,0,0,13.7917,1,C
473,473,0,2,female,22.0,0,0,9.8375,0,S
474,474,0,0,male,30.0,0,0,52.0,1,S
475,475,0,1,male,34.0,1,0,21.0,0,S
476,476,0,2,male,29.0,1,0,7.0458,0,S
477,477,0,2,male,22.0,0,0,7.5208,0,S
478,478,1,2,female,2.0,0,1,12.2875,0,S
479,479,0,2,male,9.0,5,2,46.9,0,S
480,480,0,1,male,30.0,0,0,0.0,0,S
481,481,0,2,male,50.0,0,0,8.05,0,S
482,482,1,2,female,63.0,0,0,9.5875,0,S
483,483,1,0,male,25.0,1,0,91.0792,1,C
484,484,0,2,female,21.0,3,1,25.4667,0,S
485,485,1,0,female,35.0,1,0,90.0,1,S
486,486,0,0,male,58.0,0,0,29.7,1,C
487,487,0,2,male,30.0,0,0,8.05,0,S
488,488,1,2,male,9.0,1,1,15.9,0,S
489,489,0,2,male,30.0,1,0,19.9667,0,S
490,490,0,2,male,21.0,0,0,7.25,0,S
491,491,0,0,male,55.0,0,0,30.5,1,S
492,492,0,0,male,71.0,0,0,49.5042,0,C
493,493,0,2,male,21.0,0,0,8.05,0,S
494,494,0,2,male,30.0,0,0,14.4583,0,C
495,495,1,0,female,54.0,1,0,78.2667,1,C
496,496,0,2,male,30.0,0,0,15.1,0,S
497,497,0,0,female,25.0,1,2,151.55,1,S
498,498,0,2,male,24.0,0,0,7.7958,0,S
499,499,0,2,male,17.0,0,0,8.6625,0,S
500,500,0,2,female,21.0,0,0,7.75,0,Q
501,501,0,2,female,21.0,0,0,7.6292,0,Q
502,502,0,2,female,37.0,0,0,9.5875,0,S
503,503,1,0,female,16.0,0,0,86.5,1,S
504,504,0,0,male,18.0,1,0,108.9,1,C
505,505,1,1,female,33.0,0,2,26.0,0,S
506,506,1,0,male,30.0,0,0,26.55,0,S
507,507,0,2,male,28.0,0,0,22.525,0,S
508,508,1,2,male,26.0,0,0,56.4958,0,S
509,509,1,2,male,29.0,0,0,7.75,0,Q
510,510,0,2,male,30.0,0,0,8.05,0,S
511,511,1,0,male,36.0,0,0,26.2875,1,S
512,512,1,0,female,54.0,1,0,59.4,0,C
513,513,0,2,male,24.0,0,0,7.4958,0,S
514,514,0,0,male,47.0,0,0,34.0208,1,S
515,515,1,1,female,34.0,0,0,10.5,1,S
516,516,0,2,male,30.0,0,0,24.15,0,Q
517,517,1,1,female,36.0,1,0,26.0,0,S
518,518,0,2,male,32.0,0,0,7.8958,0,S
519,519,1,0,female,30.0,0,0,93.5,1,S
520,520,0,2,male,22.0,0,0,7.8958,0,S
521,521,0,2,male,30.0,0,0,7.225,0,C
522,522,1,0,female,44.0,0,1,57.9792,1,C
523,523,0,2,male,30.0,0,0,7.2292,0,C
524,524,0,2,male,40.5,0,0,7.75,0,Q
525,525,1,1,female,50.0,0,0,10.5,0,S
